
37,1190186538472235008,"හරිම ධර්මය දන්න අය තරහ අරන් ගේමට යන්නෙවත් තරඟකාරී ජීවිත ගෙවන්නෙවත් නැතිව පුළුවන් උපරිම විවේකයෙන් නිදහසේ ජීවත් වෙනවා.

ඔවුන්ගේ උත්සාහය බැන්නත්, ගැහුවත්, මැරුවත් තරහ නොගෙන ඉන්න.

හැබැයි ඒ කිසි දේකට ඔවුන් බයත් නෑ!

ඒක ඔවුන්ගේ පොන්න කම නෙමේ, ඒක ඔවුන්ගේ ප්‍රඥාවන්ත කම!

#SriLanka #LKA",2019-11-01 08:39:18
38,1190030452935077888,"@raviyasas @NishminiR ඇත්ත හුත්ත්තෝ, කැරි කුඩු ඕනර්ල.
පැනි නවත්තල කොල්ලන්ට කුඩු ගැස්සුව.
කේජී නවත්තල කොල්ලන්ට අයිස් ගැස්සුව.
බෝම්බ හැහුවොත් ර්කදවසයි, කුඩුගැහුවොත් ආත්මගානක් ගෙවන්න වෙනව.",2019-10-31 22:19:04
39,1189971989370261504,මොන පොන්නයොද යකෝ මේ. කැරි වැඩ මේවා ලංකාව කුනු කොල්ලෙට විකුන විකුන උගේ අප්පට හැමනෙනවා. ඔය එන සල්ලිත් ඕකුන්ගේ සාක්කුවලට තමා. මෛත්‍රීපාලට පින් දෙන්න ඕනේ තාවකාලිකව හරි නැවැත්තුවට. https://t.co/vPCD7IxjuA,2019-10-31 18:26:45
40,1189938891912044546,"@Disapamok බලු පරපුර රැකගන්නට
බල්ලා බැල්ලිට හුකනව
සංසාරෙන් එතෙර වෙන්න
දෙන්න දෙපැත්තට අදිනව",2019-10-31 16:15:14
41,1189870306417971201,මේක කරපු එකා පුකෙන් වදාපු එකෙක්. මෝඩ මූසලයා. කරන්න වැඩක් නැත්නම් බිත්තියක හිලක් හදාගෙන ඒකට හුකපන්. අහිංසක මිනිස්සුන්ගෙ රස්සවට ගරහන්නේ නැතුව. https://t.co/kvwkwc2nwZ,2019-10-31 11:42:42
42,1189799168719634432,"@GotabayaR ඔයා තමයි බොක්ක අපේ ජනාධිපති ... ඔයාව පුටුවෙ ඉන්දුවට පස්සේ .. කැරි තම්බියන්ටයි , දෙමලුන්ටයි විතරක් රඟන්න දෙන්ඩ එපා එච්චරයි",2019-10-31 07:00:01
43,1189796454832852992,ජනාධිපතිවරණය ගැන දෙමළ පක්ෂ එකඟතාවකට පැමිණ නෑ.තැපැල් ඡන්දය කැමැතිඅයෙකුට.https://t.co/g0rEWNIVZ0,2019-10-31 06:49:14
44,1189784750392827904,@SalinaLakshan 😂😂😂 පක,2019-10-31 06:02:44
45,1189704231520890880,"ආදරයට කෙටි නම කියලා කතා කරනවිට අසූහාර දාහට කේන්තිගන්න අය සිටි.....""බන්ටි""නමින් හදුන්වන් ඇන්ටී කෙනෙක් මට හමුවිය ඇයටද නම කීවසැනින් බැන වදි..බැලින්නම් ඇය කඩයකින් බන්ටි චොකො සොරකම් කල අයෙක්😂😂 
.තව මල්ලී කෙනෙක් හිටියා ""සකී"" කියලා.....කොල්ලො ඌට ""සක්කිලියා"" නම කෙටි කරල සකී කියලා 😂😂",2019-10-31 00:42:47
46,1189686307481702400,@rajakarunahs @RajapaksaNamal @officialunp @AzzamAmeen ඔන්න නාමලෝ පිරිමිකම පෙන්නන්න අවස්ථාවක්. පොන්න අදහස් දාලා හැංගෙන්න නම් එපා.,2019-10-30 23:31:33
